"conversation","topic"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","weddings, engagements, Europe, China, Korea, instagram, India, Italy, Japan, Thailand"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","weddings"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","World"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","China, India, Africa, Europe, Germany, Greece, Italy, Korea, Brazil, Albania"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","World"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","World"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","artificial intelligence, Black Panther, Infinity War, Artificial Intelligence, Brazil, Captain America, China, India, Iron Man, Lord of the Rings"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","Science/Tech"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","Science/Tech"
"UserB: Traveling the world<br />UserA: I would travel the world, go scuba diving, and maybe explore places I&#x27;ve never been before.<br />UserB: Where would you go to first?<br />UserA: I would probably go to Saipan. It&#x27;s a place in the Marianna Islands that has some really cool scuba sites with WWII wrecks. What about you?<br />UserB: I would go to Korea first because my really old great grandma lives there and I want to visit her<br />UserA: That&#x27;s cool that you&#x27;re part Korean! Have you been there before?<br />UserB: I have I was actually just there about 2 years ago Have you traveled abroad before?<br />UserA: Yeah I&#x27;ve actually spent half of my life living in China. I traveled around Asia a lot while I was there.<br />UserB: That&#x27;s so cool! I would love to travel around Asia<br />UserA: When I was young, I spent an Easter in Korea with some cousins. I don&#x27;t remember it very well, but I remember Korea being very clean.<br />UserB: It is. My mom and sister spent a month or so in China and afterwards they came to Korea and they said it was much cleaner<br />UserA: I lived in Shanghai and a city called Chong Qing. Shanghai is significantly cleaner because there are a ton of foreigners there.<br />UserB: That makes sense. My roommate is from Shanghai!<br />UserA: Really? That&#x27;s really cool. Is she Chinese?<br />UserB: Yeah, she&#x27;s here for ESL classes<br /><br />","design, intelligence, music, artificial, computer, man, industrial, video, art, class"
